state,county,year,status,count
Alaska,anchorage borough,2017,armed,2
Alaska,anchorage borough,2017,unarmed,0
Alaska,anchorage borough,2019,armed,2
Alaska,anchorage borough,2019,unarmed,0
Alaska,fairbanks north star borough,2017,armed,3
Alaska,fairbanks north star borough,2017,unarmed,0
Alaska,fairbanks north star borough,2019,armed,3
Alaska,fairbanks north star borough,2019,unarmed,0
Alaska,juneau borough,2019,armed,0
Alaska,juneau borough,2019,unarmed,0
Alaska,kenai peninsula borough,2017,armed,0
Alaska,kenai peninsula borough,2017,unarmed,1
Alaska,matanuska-susitna borough,2017,armed,2
Alaska,matanuska-susitna borough,2017,unarmed,0
Alabama,autauga county,2019,armed,0.000100352
Alabama,autauga county,2019,unarmed,0
Alabama,baldwin county,2017,armed,1
Alabama,baldwin county,2017,unarmed,1
Alabama,barbour county,2017,armed,0.226229015
Alabama,barbour county,2017,unarmed,0
Alabama,calhoun county,2017,armed,3
Alabama,calhoun county,2017,unarmed,0
Alabama,cherokee county,2017,armed,0
Alabama,cherokee county,2017,unarmed,0
Alabama,cleburne county,2019,armed,1
Alabama,cleburne county,2019,unarmed,0
Alabama,crenshaw county,2017,armed,0
Alabama,crenshaw county,2017,unarmed,0
Alabama,cullman county,2019,armed,1
Alabama,cullman county,2019,unarmed,0
Alabama,dale county,2017,armed,0.044342393
Alabama,dale county,2017,unarmed,0
Alabama,dale county,2019,armed,1
Alabama,dale county,2019,unarmed,0
Alabama,elmore county,2019,armed,1.999899648
Alabama,elmore county,2019,unarmed,0
Alabama,henry county,2017,armed,1
Alabama,henry county,2017,unarmed,0
Alabama,houston county,2019,armed,0
Alabama,houston county,2019,unarmed,0
Alabama,jackson county,2017,armed,0
Alabama,jackson county,2017,unarmed,0
Alabama,jefferson county,2017,armed,4.694527551
Alabama,jefferson county,2017,unarmed,0
Alabama,jefferson county,2019,armed,1.999871677
Alabama,jefferson county,2019,unarmed,0
Alabama,lee county,2017,armed,0
Alabama,lee county,2017,unarmed,0
Alabama,limestone county,2017,armed,0.000138531
Alabama,limestone county,2017,unarmed,0
Alabama,limestone county,2019,armed,0.007618473
Alabama,limestone county,2019,unarmed,0
Alabama,lowndes county,2019,armed,0
Alabama,lowndes county,2019,unarmed,0
Alabama,madison county,2017,armed,1.999861469
Alabama,madison county,2017,unarmed,0
Alabama,madison county,2019,armed,1.992381527
Alabama,madison county,2019,unarmed,0
Alabama,marion county,2017,armed,0
Alabama,marion county,2017,unarmed,0
Alabama,mobile county,2017,armed,0
Alabama,mobile county,2017,unarmed,1
Alabama,mobile county,2019,armed,1
Alabama,mobile county,2019,unarmed,0
Alabama,pickens county,2019,armed,0
Alabama,pickens county,2019,unarmed,0
Alabama,russell county,2017,armed,0
Alabama,russell county,2017,unarmed,0
Alabama,shelby county,2017,armed,0.000241019
Alabama,shelby county,2017,unarmed,0
Alabama,shelby county,2019,armed,0.000128323
Alabama,shelby county,2019,unarmed,0
Alabama,st. clair county,2017,armed,1.034660023
Alabama,st. clair county,2017,unarmed,0
Alabama,talladega county,2017,armed,0
Alabama,talladega county,2017,unarmed,0
Alabama,washington county,2017,armed,0
Alabama,washington county,2017,unarmed,0
Arkansas,benton county,2019,armed,2
Arkansas,benton county,2019,unarmed,0
Arkansas,bradley county,2019,armed,1
Arkansas,bradley county,2019,unarmed,0
Arkansas,craighead county,2019,armed,2
Arkansas,craighead county,2019,unarmed,0
Arkansas,crawford county,2017,armed,0
Arkansas,crawford county,2017,unarmed,0
Arkansas,crittenden county,2017,armed,1
Arkansas,crittenden county,2017,unarmed,0
Arkansas,crittenden county,2019,armed,0
Arkansas,crittenden county,2019,unarmed,0
Arkansas,grant county,2017,armed,0
Arkansas,grant county,2017,unarmed,0
Arkansas,independence county,2017,armed,1
Arkansas,independence county,2017,unarmed,0
Arkansas,jefferson county,2017,armed,1
Arkansas,jefferson county,2017,unarmed,0
Arkansas,jefferson county,2019,armed,1
Arkansas,jefferson county,2019,unarmed,0
Arkansas,johnson county,2017,armed,0
Arkansas,johnson county,2017,unarmed,0
Arkansas,marion county,2017,armed,2
Arkansas,marion county,2017,unarmed,0
Arkansas,mississippi county,2019,armed,0
Arkansas,mississippi county,2019,unarmed,1
Arkansas,phillips county,2019,armed,1
Arkansas,phillips county,2019,unarmed,0
Arkansas,pulaski county,2017,armed,1
Arkansas,pulaski county,2017,unarmed,0
Arkansas,pulaski county,2019,armed,1
Arkansas,pulaski county,2019,unarmed,0
Arkansas,saline county,2019,armed,1
Arkansas,saline county,2019,unarmed,0
Arkansas,st. francis county,2019,armed,1
Arkansas,st. francis county,2019,unarmed,0
Arkansas,stone county,2019,armed,1
Arkansas,stone county,2019,unarmed,0
Arkansas,van buren county,2019,armed,2
Arkansas,van buren county,2019,unarmed,0
Arkansas,washington county,2019,armed,1
Arkansas,washington county,2019,unarmed,0
Arkansas,white county,2017,armed,1
Arkansas,white county,2017,unarmed,0
Arizona,apache county,2017,armed,1
Arizona,apache county,2017,unarmed,0
Arizona,coconino county,2017,armed,1
Arizona,coconino county,2017,unarmed,0
Arizona,coconino county,2019,armed,2
Arizona,coconino county,2019,unarmed,1
Arizona,gila county,2017,armed,0.005211456
Arizona,gila county,2017,unarmed,0
Arizona,gila county,2019,armed,0.005211456
Arizona,gila county,2019,unarmed,0
Arizona,graham county,2017,armed,0.777777778
Arizona,graham county,2017,unarmed,0
Arizona,la paz county,2017,armed,1
Arizona,la paz county,2017,unarmed,0
Arizona,la paz county,2019,armed,0
Arizona,la paz county,2019,unarmed,1
Arizona,maricopa county,2017,armed,11.99485525
Arizona,maricopa county,2017,unarmed,2
Arizona,maricopa county,2019,armed,12.99478854
Arizona,maricopa county,2019,unarmed,1
Arizona,mohave county,2017,armed,3
Arizona,mohave county,2017,unarmed,0
Arizona,navajo county,2017,armed,1
Arizona,navajo county,2017,unarmed,0
Arizona,pima county,2017,armed,4.222222222
Arizona,pima county,2017,unarmed,0
Arizona,pima county,2019,armed,3
Arizona,pima county,2019,unarmed,0
Arizona,pinal county,2017,armed,0.999933299
Arizona,pinal county,2017,unarmed,0
Arizona,pinal county,2019,armed,0
Arizona,pinal county,2019,unarmed,0
Arizona,yavapai county,2017,armed,2
Arizona,yavapai county,2017,unarmed,0
Arizona,yuma county,2017,armed,0
Arizona,yuma county,2017,unarmed,0
California,alameda county,2017,armed,3
California,alameda county,2017,unarmed,2
California,alameda county,2019,armed,1
California,alameda county,2019,unarmed,0
California,butte county,2017,armed,1
California,butte county,2017,unarmed,0
California,butte county,2019,armed,1
California,butte county,2019,unarmed,0
California,contra costa county,2017,armed,2.010998298
California,contra costa county,2017,unarmed,0
California,contra costa county,2019,armed,0
California,contra costa county,2019,unarmed,0
California,fresno county,2017,armed,1
California,fresno county,2017,unarmed,1
California,fresno county,2019,armed,2
California,fresno county,2019,unarmed,0
California,humboldt county,2017,armed,1
